           xnames     xmin     xmax
1        q10_leaf  1.0e+00 3.00e+00
2           nl0_1  1.0e-03 2.00e-01
3           nl0_2  1.0e-03 2.00e-01
4           nl0_3  1.0e-03 2.00e-01
5           nl0_4  1.0e-03 2.00e-01
6           nl0_5  1.0e-03 2.00e-01
7         alpha_1  1.0e-03 9.99e-01
8         alpha_2  1.0e-03 9.99e-01
9         alpha_3  1.0e-03 9.99e-01
10        alpha_4  1.0e-03 9.99e-01
11        alpha_5  1.0e-03 9.99e-01
12           f0_1  5.0e-01 9.90e-01
13           f0_2  5.0e-01 9.90e-01
14           f0_3  5.0e-01 9.90e-01
15           f0_4  5.0e-01 9.90e-01
16           f0_5  5.0e-01 9.90e-01
17         tlow_1 -5.0e+01 4.00e+01
18         tlow_2 -5.0e+01 4.00e+01
19         tlow_3 -5.0e+01 4.00e+01
20         tlow_4 -5.0e+01 4.00e+01
21         tlow_5 -5.0e+01 4.00e+01
22         tupp_1  2.5e+01 5.00e+01
23         tupp_2  2.5e+01 5.00e+01
24         tupp_3  2.5e+01 5.00e+01
25         tupp_4  2.5e+01 5.00e+01
26         tupp_5  2.5e+01 5.00e+01
27          lai_1  1.0e-03 1.00e+01
28          lai_2  1.0e-03 1.00e+01
29          lai_3  1.0e-03 1.00e+01
30          lai_4  1.0e-03 1.00e+01
31          lai_5  1.0e-03 1.00e+01
32     canht_ft_1  1.0e-07 5.00e+01
33     canht_ft_2  1.0e-07 5.00e+01
34     canht_ft_3  1.0e-07 5.00e+01
35     canht_ft_4  1.0e-07 5.00e+01
36     canht_ft_5  1.0e-07 5.00e+01
37       satcon_1  9.0e-04 3.00e-02
38       satcon_2  9.0e-04 3.00e-02
39       satcon_3  9.0e-04 3.00e-02
40       satcon_4  9.0e-04 3.00e-02
41            b_1  1.0e+00 1.20e+01
42            b_2  1.0e+00 1.20e+01
43            b_3  1.0e+00 1.20e+01
44            b_4  1.0e+00 1.20e+01
45             cs  0.0e+00 5.00e+01
46     rootd_ft_1  1.0e-01 4.00e+00
47     rootd_ft_2  1.0e-01 4.00e+00
48     rootd_ft_3  1.0e-01 4.00e+00
49     rootd_ft_4  1.0e-01 4.00e+00
50     rootd_ft_5  1.0e-01 4.00e+00
51      ts_bias_1 -2.0e+02 2.00e+02
52      ts_bias_2 -2.0e+02 2.00e+02
53      ts_bias_3 -2.0e+02 2.00e+02
54      ts_bias_4 -2.0e+01 2.00e+01
55      ts_scal_1  1.0e-01 1.00e+01
56      ts_scal_2  1.0e-01 1.00e+01
57      ts_scal_3  1.0e-01 1.00e+01
58      ts_scal_4  1.0e-01 1.00e+01
59        albsoil  1.0e-03 9.99e-01
60 smvccl_on_st_1  1.0e-03 9.99e-01
61 smvccl_on_st_2  1.0e-03 9.99e-01
62 smvccl_on_st_3  1.0e-03 9.99e-01
63 smvccl_on_st_4  1.0e-03 9.99e-01
64 smvcwt_on_cl_1  1.0e-03 9.99e-01
65 smvcwt_on_cl_2  1.0e-03 9.99e-01
66 smvcwt_on_cl_3  1.0e-03 9.99e-01
67 smvcwt_on_cl_4  1.0e-03 9.99e-01
68  dcatch_dlai_1  1.0e-03 1.00e-01
69  dcatch_dlai_2  1.0e-03 1.00e-01
70  dcatch_dlai_3  1.0e-03 1.00e-01
71  dcatch_dlai_4  1.0e-03 1.00e-01
72  dcatch_dlai_5  1.0e-03 1.00e-01
73       dqcrit_1  1.0e-03 2.00e-01
74       dqcrit_2  1.0e-03 2.00e-01
75       dqcrit_3  1.0e-03 2.00e-01
76       dqcrit_4  1.0e-03 2.00e-01
77       dqcrit_5  1.0e-03 2.00e-01
78        sathh_1  1.0e-03 1.00e+00
79        sathh_2  1.0e-03 1.00e+00
80        sathh_3  1.0e-03 1.00e+00
81        sathh_4  1.0e-03 1.00e+00
82       sm_sat_1  1.0e-03 6.00e-01
83       sm_sat_2  1.0e-03 6.00e-01
84       sm_sat_3  1.0e-03 6.00e-01
85       sm_sat_4  1.0e-03 6.00e-01
86         hcap_1  2.0e+05 2.00e+07
87         hcap_2  2.0e+05 2.00e+07
88         hcap_3  2.0e+05 2.00e+07
89         hcap_4  2.0e+05 2.00e+07
90         hcon_1  1.0e-03 5.00e-01
91         hcon_2  1.0e-03 5.00e-01
92         hcon_3  1.0e-03 5.00e-01
93         hcon_4  1.0e-03 5.00e-01
94       q10_soil  1.0e+00 3.00e+00
